2021-02-05 20:34:09.628 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-05 20:34:28.420 +09:00 | Connection update   | Networking     | 76561199120747418@steam preauthenticated from endpoint 182.31.147.126:64213.
2021-02-05 20:34:28.488 +09:00 | Connection update   | Networking     | 76561199032243617@steam preauthenticated from endpoint 211.189.206.153:63827.
2021-02-05 20:34:28.663 +09:00 | Connection update   | Networking     | 76561198347901294@steam preauthenticated from endpoint 121.187.215.31:54711.
2021-02-05 20:34:28.730 +09:00 | Connection update   | Networking     | 76561199135964348@steam preauthenticated from endpoint 222.234.53.125:56269.
2021-02-05 20:34:28.748 +09:00 | Connection update   | Networking     | 76561199025195134@steam preauthenticated from endpoint 49.170.73.195:58836.
2021-02-05 20:34:28.762 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:49822.
2021-02-05 20:34:29.265 +09:00 | Connection update   | Networking     | 76561198956540241@steam preauthenticated from endpoint 175.116.70.90:51883.
2021-02-05 20:34:35.409 +09:00 | Connection update   | Networking     | 76561199120747418@steam authenticated from endpoint 182.31.147.126:64213. Player ID assigned: 2. Auth token serial number: Np9fXXSgm5MjQm3d
2021-02-05 20:34:35.459 +09:00 | Connection update   | Networking     | Nickname of 76561199120747418@steam is now 컴퓨터괴물(twich).
2021-02-05 20:34:37.391 +09:00 | Connection update   | Networking     | 76561199025195134@steam authenticated from endpoint 49.170.73.195:58836. Player ID assigned: 5. Auth token serial number: nLulIgPWPa3HGjqV
2021-02-05 20:34:37.424 +09:00 | Connection update   | Networking     | Nickname of 76561199025195134@steam is now 𝒯𝓌𝒾𝓉𝒸𝒽_별이.
2021-02-05 20:34:37.650 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:49822. Player ID assigned: 4. Auth token serial number: PkyMlZgyMF/WasjK
2021-02-05 20:34:37.686 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-05 20:34:37.690 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-05 20:34:37.695 +09:00 | Connection update   | Networking     | 76561199135964348@steam authenticated from endpoint 222.234.53.125:56269. Player ID assigned: 3. Auth token serial number: I4lfPBx7DnGDrAQu
2021-02-05 20:34:37.753 +09:00 | Connection update   | Networking     | Nickname of 76561199135964348@steam is now 호르.
2021-02-05 20:34:37.753 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 222.234.53.125 sent Do Not Track signal.
2021-02-05 20:34:37.805 +09:00 | Connection update   | Networking     | 76561198956540241@steam authenticated from endpoint 175.116.70.90:51883. Player ID assigned: 6. Auth token serial number: oW1pCRhS2zx4NU93
2021-02-05 20:34:37.849 +09:00 | Connection update   | Networking     | Nickname of 76561198956540241@steam is now 눈사람.
2021-02-05 20:34:37.852 +09:00 | Connection update   | Permissions    | 눈사람 (76561198956540241@steam) has been assigned to group ADMIN.
2021-02-05 20:34:38.296 +09:00 | Connection update   | Networking     | 76561199032243617@steam authenticated from endpoint 211.189.206.153:63827. Player ID assigned: 7. Auth token serial number: 2irWDmxlyAv3C4YD
2021-02-05 20:34:38.329 +09:00 | Connection update   | Networking     | Nickname of 76561199032243617@steam is now 목디스크 치료자 땅콩이.
2021-02-05 20:34:44.894 +09:00 | Connection update   | Networking     | 76561198347901294@steam authenticated from endpoint 121.187.215.31:54711. Player ID assigned: 8. Auth token serial number: uaXAGBYfJuBvcCqq
2021-02-05 20:34:44.927 +09:00 | Connection update   | Networking     | Nickname of 76561198347901294@steam is now 야망.
2021-02-05 20:35:02.139 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-05 20:35:03.150 +09:00 | Game Event          | Class change   | 𝒯𝓌𝒾𝓉𝒸𝒽_별이 (76561199025195134@steam) spawned as Class-D Personnel.
2021-02-05 20:35:03.150 +09:00 | Game Event          | Class change   | 컴퓨터괴물(twich) (76561199120747418@steam) spawned as SCP-049.
2021-02-05 20:35:03.150 +09:00 | Game Event          | Class change   | 야망 (76561198347901294@steam) spawned as Facility Guard.
2021-02-05 20:35:03.150 +09:00 | Game Event          | Class change   | 목디스크 치료자 땅콩이 (76561199032243617@steam) spawned as Class-D Personnel.
2021-02-05 20:35:03.150 +09:00 | Game Event          | Class change   | 눈사람 (76561198956540241@steam) spawned as Scientist.
2021-02-05 20:35:03.150 +09:00 | Game Event          | Class change   | Goldmilk777 (76561198254130933@steam) spawned as Facility Guard.
2021-02-05 20:35:03.150 +09:00 | Game Event          | Class change   | 호르 (76561199135964348@steam) spawned as Class-D Personnel.
2021-02-05 20:35:03.153 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-05 20:35:03.184 +09:00 | Game Event          | Logger         | Class Picker Result: ClassD | Scp049 | FacilityGuard | ClassD | Scientist | FacilityGuard | ClassD | 
2021-02-05 20:37:03.305 +09:00 | Kill                | Class change   | 호르 (76561199135964348@steam) playing as Class-D Personnel has been killed by 눈사람 (76561198956540241@steam) using P90 playing as Scientist.
2021-02-05 20:37:11.166 +09:00 | Game Event          | Logger         | Player 눈사람 (76561198956540241@steam) threw a frag grenade.
2021-02-05 20:37:15.910 +09:00 | Game Event          | Logger         | Player 눈사람 (76561198956540241@steam)'s frag grenade exploded.
2021-02-05 20:37:15.911 +09:00 | Game Event          | Logger         | Player 눈사람 (76561198956540241@steam) threw a frag grenade.
2021-02-05 20:37:15.912 +09:00 | Game Event          | Logger         | Player 눈사람 (76561198956540241@steam) threw a frag grenade.
2021-02-05 20:37:15.912 +09:00 | Kill                | Class change   | 목디스크 치료자 땅콩이 (76561199032243617@steam) playing as Class-D Personnel has been killed by 눈사람 (76561198956540241@steam) using GRENADE playing as Scientist.
2021-02-05 20:37:20.659 +09:00 | Game Event          | Logger         | Player 눈사람 (76561198956540241@steam)'s frag grenade exploded.
2021-02-05 20:37:20.659 +09:00 | Game Event          | Logger         | Player 눈사람 (76561198956540241@steam)'s frag grenade exploded.
2021-02-05 20:37:26.880 +09:00 | Connection update   | Networking     | 76561198971665244@steam preauthenticated from endpoint 183.108.197.153:59979.
2021-02-05 20:37:38.342 +09:00 | Kill                | Class change   | 𝒯𝓌𝒾𝓉𝒸𝒽_별이 (76561199025195134@steam) playing as Class-D Personnel has been killed by 눈사람 (76561198956540241@steam) using P90 playing as Scientist.
2021-02-05 20:37:44.527 +09:00 | Connection update   | Networking     | 𝒯𝓌𝒾𝓉𝒸𝒽_별이 76561199025195134@steam disconnected from IP address 49.170.73.195. Last class: Spectator (Spectator)
2021-02-05 20:37:52.272 +09:00 | Connection update   | Networking     | 76561198971665244@steam authenticated from endpoint 183.108.197.153:59979. Player ID assigned: 9. Auth token serial number: nfxsr4kWvdsU9jTj
2021-02-05 20:37:52.304 +09:00 | Connection update   | Networking     | Nickname of 76561198971665244@steam is now 강지훈.
2021-02-05 20:39:59.061 +09:00 | Game Event          | Warhead        | Goldmilk777 (76561198254130933@steam) set the Alpha Warhead status to True.
2021-02-05 20:40:28.831 +09:00 | Kill                | Class change   | Goldmilk777 (76561198254130933@steam) playing as Facility Guard has been killed by WORLD using FALLDOWN.
2021-02-05 20:40:45.835 +09:00 | Game Event          | Class change   | Player 목디스크 치료자 땅콩이 (76561199032243617@steam) respawned as ChaosInsurgency.
2021-02-05 20:40:45.840 +09:00 | Game Event          | Class change   | Player Goldmilk777 (76561198254130933@steam) respawned as ChaosInsurgency.
2021-02-05 20:40:45.844 +09:00 | Game Event          | Class change   | Player 강지훈 (76561198971665244@steam) respawned as ChaosInsurgency.
2021-02-05 20:40:45.849 +09:00 | Game Event          | Class change   | Player 호르 (76561199135964348@steam) respawned as ChaosInsurgency.
2021-02-05 20:40:45.849 +09:00 | Game Event          | Class change   | RespawnManager has successfully spawned 4 players as ChaosInsurgency!
2021-02-05 20:42:34.062 +09:00 | Connection update   | Networking     | 76561199044492150@steam preauthenticated from endpoint 121.160.224.19:55360.
2021-02-05 20:42:40.583 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-05 20:42:41.012 +09:00 | Connection update   | Networking     | 76561199044492150@steam authenticated from endpoint 121.160.224.19:55360. Player ID assigned: 10. Auth token serial number: Sbk2hfdA9rh7OHtD
2021-02-05 20:42:41.045 +09:00 | Connection update   | Networking     | Nickname of 76561199044492150@steam is now 중2병의빔.
2021-02-05 20:43:26.121 +09:00 | Kill                | Class change   | Goldmilk777 (76561198254130933@steam) playing as Chaos Insurgency has been killed by 컴퓨터괴물(twich) (76561199120747418@steam) using SCP-049 playing as SCP-049.
2021-02-05 20:43:48.954 +09:00 | Game Event          | Warhead        | 야망 (76561198347901294@steam) set the Alpha Warhead status to False.
2021-02-05 20:45:03.305 +09:00 | Game Event          | Warhead        | Countdown started.
2021-02-05 20:45:40.313 +09:00 | Kill                | Class change   | 강지훈 (76561198971665244@steam) playing as Chaos Insurgency has been killed by 컴퓨터괴물(twich) (76561199120747418@steam) using SCP-049 playing as SCP-049.
2021-02-05 20:46:37.384 +09:00 | Kill                | Class change   | 눈사람 (76561198956540241@steam) playing as Scientist has been killed by 호르 (76561199135964348@steam) using Logicier playing as Chaos Insurgency.
2021-02-05 20:46:44.324 +09:00 | Game Event          | Warhead        | Warhead detonated.
2021-02-05 20:46:44.324 +09:00 | Remote Admin        | Administrative | LCZ decontamination has been disabled by detonation of the Alpha Warhead.
2021-02-05 20:46:44.324 +09:00 | Kill                | Class change   | 야망 (76561198347901294@steam) playing as Facility Guard has been killed by WORLD using NUKE.
2021-02-05 20:46:44.395 +09:00 | Game Event          | Logger         | Round finished! Anomalies: 3 | Chaos: 2 | Facility Forces: 0 | D escaped percentage: 0 | S escaped percentage: : 0
2021-02-05 20:46:46.840 +09:00 | Game Event          | Class change   | Player 야망 (76561198347901294@steam) respawned as NtfCommander.
